名稱,股票代號,交易所,download_timestamp,process_timestamp
美國航空,,,2026-06-14 04:15:19,2026-06-14 04:15:19
耐克森,NKE,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
聯合太平洋鐵路,,,2026-06-14 04:15:19,2026-06-14 04:15:19
聯合航空,,,2026-06-14 04:15:19,2026-06-14 04:15:19
聯邦快遞,FDX,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
舜宇光學,,,2026-06-14 04:15:19,2026-06-14 04:15:19
艾克爾,,,2026-06-14 04:15:19,2026-06-14 04:15:19
艾司摩爾,ASML,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
艾睿電子,,,2026-06-14 04:15:19,2026-06-14 04:15:19
英國英運物流集團,,,2026-06-14 04:15:19,2026-06-14 04:15:19
荷商嘉柏微電子材料,,,2026-06-14 04:15:19,2026-06-14 04:15:19
莫仕,,,2026-06-14 04:15:19,2026-06-14 04:15:19
華為,,Private,2026-06-14 04:15:19,2026-06-14 04:15:19
萊萃美,,,2026-06-14 04:15:19,2026-06-14 04:15:19
蓝宝科技,,,2026-06-14 04:15:19,2026-06-14 04:15:19
蔡司,,,2026-06-14 04:15:19,2026-06-14 04:15:19
藝卓,,,2026-06-14 04:15:19,2026-06-14 04:15:19
蘋果,AAPL,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
記憶,,,2026-06-14 04:15:19,2026-06-14 04:15:19
諾華,NVS,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
豐創,,,2026-06-14 04:15:19,2026-06-14 04:15:19
豐田合成,,,2026-06-14 04:15:19,2026-06-14 04:15:19
豪威科技,,,2026-06-14 04:15:19,2026-06-14 04:15:19
豪雅,,,2026-06-14 04:15:19,2026-06-14 04:15:19
賽峰,,,2026-06-14 04:15:19,2026-06-14 04:15:19
趨勢科技,4704.T,TSE,2026-06-14 04:15:19,2026-06-14 04:15:19
輝瑞大藥廠,PFE,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
近畿日本鉄道,,,2026-06-14 04:15:19,2026-06-14 04:15:19
迪卡儂,,Private,2026-06-14 04:15:19,2026-06-14 04:15:19
達梭系統,DASTY,OTC,2026-06-14 04:15:19,2026-06-14 04:15:19
達美航空,,,2026-06-14 04:15:19,2026-06-14 04:15:19
達能集團,DANOY,OTC,2026-06-14 04:15:19,2026-06-14 04:15:19
達飛海運集團,,,2026-06-14 04:15:19,2026-06-14 04:15:19
邁克菲,,,2026-06-14 04:15:19,2026-06-14 04:15:19
邁創,,,2026-06-14 04:15:19,2026-06-14 04:15:19
邁圖,,,2026-06-14 04:15:19,2026-06-14 04:15:19
邁威爾,MRVL,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
酷柏,,,2026-06-14 04:15:19,2026-06-14 04:15:19
金士頓,,,2026-06-14 04:15:19,2026-06-14 04:15:19
金百利克拉克,,,2026-06-14 04:15:19,2026-06-14 04:15:19
鎧俠株式會社,,,2026-06-14 04:15:19,2026-06-14 04:15:19
鑽石鏈條,,,2026-06-14 04:15:19,2026-06-14 04:15:19
長電科技,,,2026-06-14 04:15:19,2026-06-14 04:15:19
開利,,,2026-06-14 04:15:19,2026-06-14 04:15:19
開拓重工,,,2026-06-14 04:15:19,2026-06-14 04:15:19
阿徹丹尼爾斯米德蘭公司(糧商跟加工廠),,,2026-06-14 04:15:19,2026-06-14 04:15:19
阿特拉斯科普柯集團,,,2026-06-14 04:15:19,2026-06-14 04:15:19
阿里巴巴集團,BABA,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
隆利科技,,,2026-06-14 04:15:19,2026-06-14 04:15:19
雀巢,NSRGY,OTC,2026-06-14 04:15:19,2026-06-14 04:15:19
電子海灣,,,2026-06-14 04:15:19,2026-06-14 04:15:19
首爾半導體,,,2026-06-14 04:15:19,2026-06-14 04:15:19
高通,QCOM,NASDAQ,2026-06-14 04:15:19,2026-06-14 04:15:19
麥當勞,MCD,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
默克集團,MRK,NYSE,2026-06-14 04:15:19,2026-06-14 04:15:19
